"","Year","Month","food_cpi","date","all_cpi","week_working_hour"
"1",2012,"Jan",0.6,2012-01-01,0.4,34.5
"2",2012,"Feb",0,2012-02-01,0.4,34.5
"3",2012,"Mar",0.1,2012-03-01,0.8,34.4
"4",2012,"Apr",0.2,2012-04-01,0.3,34.5
"5",2012,"May",0.1,2012-05-01,-0.1,34.4
"6",2012,"Jun",0.1,2012-06-01,-0.1,34.4
"7",2012,"Jul",0,2012-07-01,-0.2,34.4
"8",2012,"Aug",0.2,2012-08-01,0.6,34.4
"9",2012,"Sep",0.1,2012-09-01,0.4,34.4
"10",2012,"Oct",0.2,2012-10-01,0,34.4
"11",2012,"Nov",0,2012-11-01,-0.5,34.4
"12",2012,"Dec",0.2,2012-12-01,-0.3,34.5
"13",2013,"Jan",0.4,2013-01-01,0.3,34.4
"14",2013,"Feb",0,2013-02-01,0.8,34.5
"15",2013,"Mar",0,2013-03-01,0.3,34.5
"16",2013,"Apr",0.2,2013-04-01,-0.1,34.4
"17",2013,"May",-0.1,2013-05-01,0.2,34.5
"18",2013,"Jun",0.1,2013-06-01,0.2,34.5
"19",2013,"Jul",0.1,2013-07-01,0,34.4
"20",2013,"Aug",0.2,2013-08-01,0.1,34.5
"21",2013,"Sep",0,2013-09-01,0.1,34.4
"22",2013,"Oct",0.1,2013-10-01,-0.3,34.4
"23",2013,"Nov",-0.1,2013-11-01,-0.2,34.5
"24",2013,"Dec",0.1,2013-12-01,0,34.4
"25",2014,"Jan",0.4,2014-01-01,0.4,34.4
"26",2014,"Feb",0.3,2014-02-01,0.4,34.3
"27",2014,"Mar",0.3,2014-03-01,0.6,34.5
"28",2014,"Apr",0.4,2014-04-01,0.3,34.5
"29",2014,"May",0.4,2014-05-01,0.3,34.5
"30",2014,"Jun",0,2014-06-01,0.2,34.5
"31",2014,"Jul",0.3,2014-07-01,0,34.5
"32",2014,"Aug",0.3,2014-08-01,-0.2,34.6
"33",2014,"Sep",0.3,2014-09-01,0.1,34.5
"34",2014,"Oct",0.2,2014-10-01,-0.3,34.6
"35",2014,"Nov",0.1,2014-11-01,-0.5,34.6
"36",2014,"Dec",0.3,2014-12-01,-0.6,34.6
"37",2015,"Jan",0.2,2015-01-01,-0.5,34.5
"38",2015,"Feb",0.1,2015-02-01,0.4,34.6
"39",2015,"Mar",-0.2,2015-03-01,0.6,34.5
"40",2015,"Apr",0,2015-04-01,0.2,34.5
"41",2015,"May",0,2015-05-01,0.5,34.5
"42",2015,"Jun",0.2,2015-06-01,0.4,34.5
"43",2015,"Jul",0.1,2015-07-01,0,34.5
"44",2015,"Aug",0.3,2015-08-01,-0.1,34.5
"45",2015,"Sep",0.4,2015-09-01,-0.2,34.5
"46",2015,"Oct",0.2,2015-10-01,0,34.6
"47",2015,"Nov",-0.3,2015-11-01,-0.2,34.5
"48",2015,"Dec",-0.2,2015-12-01,-0.3,34.5
"49",2016,"Jan",0.3,2016-01-01,0.2,34.6
"50",2016,"Feb",0.1,2016-02-01,0.1,34.4
"51",2016,"Mar",-0.3,2016-03-01,0.4,34.4
"52",2016,"Apr",0.2,2016-04-01,0.5,34.4
"53",2016,"May",-0.2,2016-05-01,0.4,34.4
"54",2016,"Jun",-0.2,2016-06-01,0.3,34.4
"55",2016,"Jul",0,2016-07-01,-0.2,34.4
"56",2016,"Aug",0.1,2016-08-01,0.1,34.3
"57",2016,"Sep",0.1,2016-09-01,0.2,34.4
"58",2016,"Oct",0.1,2016-10-01,0.1,34.4
"59",2016,"Nov",-0.2,2016-11-01,-0.2,34.4
"60",2016,"Dec",0,2016-12-01,0,34.4
"61",2017,"Jan",0.4,2017-01-01,0.6,34.4
"62",2017,"Feb",0.2,2017-02-01,0.3,34.3
"63",2017,"Mar",0.1,2017-03-01,0.1,34.3
"64",2017,"Apr",0.2,2017-04-01,0.3,34.4
"65",2017,"May",0.1,2017-05-01,0.1,34.4
"66",2017,"Jun",-0.1,2017-06-01,0.1,34.4
"67",2017,"Jul",0.2,2017-07-01,-0.1,34.4
"68",2017,"Aug",0.1,2017-08-01,0.3,34.4
"69",2017,"Sep",0.2,2017-09-01,0.5,34.3
"70",2017,"Oct",0.2,2017-10-01,-0.1,34.4
"71",2017,"Nov",-0.2,2017-11-01,0,34.5
"72",2017,"Dec",0.1,2017-12-01,-0.1,34.5
"73",2018,"Jan",0.4,2018-01-01,0.5,34.4
"74",2018,"Feb",0,2018-02-01,0.5,34.5
"75",2018,"Mar",0,2018-03-01,0.2,34.5
"76",2018,"Apr",0.3,2018-04-01,0.4,34.5
"77",2018,"May",-0.1,2018-05-01,0.4,34.5
"78",2018,"Jun",0.1,2018-06-01,0.2,34.5
"79",2018,"Jul",0.2,2018-07-01,0,34.5
"80",2018,"Aug",0.1,2018-08-01,0.1,34.5
"81",2018,"Sep",0.2,2018-09-01,0.1,34.5
"82",2018,"Oct",0,2018-10-01,0.2,34.5
"83",2018,"Nov",0,2018-11-01,-0.3,34.4
"84",2018,"Dec",0.3,2018-12-01,-0.3,34.5
"85",2019,"Jan",0.5,2019-01-01,0.2,34.5
"86",2019,"Feb",0.3,2019-02-01,0.4,34.4
"87",2019,"Mar",0.2,2019-03-01,0.6,34.5
"88",2019,"Apr",0,2019-04-01,0.5,34.4
"89",2019,"May",0.2,2019-05-01,0.2,34.4
"90",2019,"Jun",0,2019-06-01,0,34.4
"91",2019,"Jul",0.1,2019-07-01,0.2,34.4
"92",2019,"Aug",0.1,2019-08-01,0,34.4
"93",2019,"Sep",0.2,2019-09-01,0.1,34.4
"94",2019,"Oct",0.2,2019-10-01,0.2,34.4
"95",2019,"Nov",-0.1,2019-11-01,-0.1,34.3
"96",2019,"Dec",0.1,2019-12-01,-0.1,34.3
"97",2020,"Jan",0.5,2020-01-01,0.4,34.3
"98",2020,"Feb",0.3,2020-02-01,0.3,34.4
"99",2020,"Mar",0.3,2020-03-01,-0.2,34.1
"100",2020,"Apr",1.5,2020-04-01,-0.7,34.2
"101",2020,"May",0.6,2020-05-01,0,34.7
"102",2020,"Jun",0.5,2020-06-01,0.5,34.6
"103",2020,"Jul",-0.3,2020-07-01,0.5,34.6
"104",2020,"Aug",0.1,2020-08-01,0.3,34.7
"105",2020,"Sep",0,2020-09-01,0.1,34.8
"106",2020,"Oct",0.3,2020-10-01,0,34.9
"107",2020,"Nov",-0.2,2020-11-01,-0.1,34.8
"108",2020,"Dec",0.3,2020-12-01,0.1,34.7
"109",2021,"Jan",0.3,2021-01-01,0.4,35
"110",2021,"Feb",0.2,2021-02-01,0.5,34.6
"111",2021,"Mar",0.2,2021-03-01,0.7,34.9
"112",2021,"Apr",0.5,2021-04-01,0.8,34.9
"113",2021,"May",0.4,2021-05-01,0.8,34.9
"114",2021,"Jun",0.7,2021-06-01,0.9,34.8
"115",2021,"Jul",0.7,2021-07-01,0.5,34.8
"116",2021,"Aug",0.4,2021-08-01,0.2,34.7
"117",2021,"Sep",0.8,2021-09-01,0.3,34.8
"118",2021,"Oct",0.9,2021-10-01,0.8,34.8
"119",2021,"Nov",0.4,2021-11-01,0.5,34.8
"120",2021,"Dec",0.5,2021-12-01,0.3,34.8
"121",2022,"Jan",0.9,2022-01-01,0.8,34.6
"122",2022,"Feb",1,2022-02-01,0.9,34.7
"123",2022,"Mar",1,2022-03-01,1.3,34.6
"124",2022,"Apr",NA,2022-04-01,NA,NA
"125",2022,"May",NA,2022-05-01,NA,NA
"126",2022,"Jun",NA,2022-06-01,NA,NA
"127",2022,"Jul",NA,2022-07-01,NA,NA
"128",2022,"Aug",NA,2022-08-01,NA,NA
"129",2022,"Sep",NA,2022-09-01,NA,NA
"130",2022,"Oct",NA,2022-10-01,NA,NA
"131",2022,"Nov",NA,2022-11-01,NA,NA
"132",2022,"Dec",NA,2022-12-01,NA,NA
"133",NA,NA,NA,2010-01-01,0.3,34.1
"134",NA,NA,NA,2010-02-01,0,33.8
"135",NA,NA,NA,2010-03-01,0.4,34
"136",NA,NA,NA,2010-04-01,0.2,34.1
"137",NA,NA,NA,2010-05-01,0.1,34.1
"138",NA,NA,NA,2010-06-01,-0.1,34.1
"139",NA,NA,NA,2010-07-01,0,34.1
"140",NA,NA,NA,2010-08-01,0.1,34.2
"141",NA,NA,NA,2010-09-01,0.1,34.3
"142",NA,NA,NA,2010-10-01,0.1,34.3
"143",NA,NA,NA,2010-11-01,0,34.2
"144",NA,NA,NA,2010-12-01,0.2,34.3
"145",NA,NA,NA,2011-01-01,0.5,34.2
"146",NA,NA,NA,2011-02-01,0.5,34.3
"147",NA,NA,NA,2011-03-01,1,34.3
"148",NA,NA,NA,2011-04-01,0.6,34.4
"149",NA,NA,NA,2011-05-01,0.5,34.3
"150",NA,NA,NA,2011-06-01,-0.1,34.3
"151",NA,NA,NA,2011-07-01,0.1,34.4
"152",NA,NA,NA,2011-08-01,0.3,34.3
"153",NA,NA,NA,2011-09-01,0.2,34.4
"154",NA,NA,NA,2011-10-01,-0.2,34.4
"155",NA,NA,NA,2011-11-01,-0.1,34.4
"156",NA,NA,NA,2011-12-01,-0.2,34.4
